Signature,Time,Action,From,Amount,Value,Platform,Source
3QJXTTcLu3XT1F6gSsqEJr5W6AxkkkC6Tgot1xoXnL6qjYraJzFMpmf8zmTuPNh3k4vSCNRo1ecqELMnAt1JhqfQ,2025-04-12 07:31:39,ACTIVITY_AGG_TOKEN_SWAP,j1oAbxxiDUWvoHxEDhWE7THLjEkDQW2cSHYn2vttxTF,158775.05932515,15.881415,j1o2qRpjcyUwEvwtcfhEQefh773ZgjxcVRry7LDqg5X,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4
5zZevJC28qSvvbZR18Yidd1161PoKgpvCA7MftjArhhC3pK97BztLDzrKvM5yrNAbJbYJcB6eeG7mBCSGbWiWxqx,2025-04-12 07:22:35,ACTIVITY_TOKEN_SWAP,j1oeQoPeuEDmjvyMwBmCWexzCQup77kbKKxV59CnYbd,158876.70788545,15.83380003552,j1o2qRpjcyUwEvwtcfhEQefh773ZgjxcVRry7LDqg5X,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
5zZevJC28qSvvbZR18Yidd1161PoKgpvCA7MftjArhhC3pK97BztLDzrKvM5yrNAbJbYJcB6eeG7mBCSGbWiWxqx,2025-04-12 07:22:35,ACTIVITY_AGG_TOKEN_SWAP,j1oeQoPeuEDmjvyMwBmCWexzCQup77kbKKxV59CnYbd,158876.70788545,15.900173,j1o2qRpjcyUwEvwtcfhEQefh773ZgjxcVRry7LDqg5X,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4
27gpWvEUx6nhxgT4K5qPpeZHuNTjXTehRqwXgASm6RapNL8A2iU3N8p4uD78uKSMV22dcgLNTxdraT2kPMFcV1aw,2025-04-12 06:46:41,ACTIVITY_TOKEN_SWAP,j1oeQoPeuEDmjvyMwBmCWexzCQup77kbKKxV59CnYbd,158927.56470616,15.7230973044,j1o2qRpjcyUwEvwtcfhEQefh773ZgjxcVRry7LDqg5X,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
27gpWvEUx6nhxgT4K5qPpeZHuNTjXTehRqwXgASm6RapNL8A2iU3N8p4uD78uKSMV22dcgLNTxdraT2kPMFcV1aw,2025-04-12 06:46:41,ACTIVITY_AGG_TOKEN_SWAP,j1oeQoPeuEDmjvyMwBmCWexzCQup77kbKKxV59CnYbd,158927.56470616,15.907382,j1o2qRpjcyUwEvwtcfhEQefh773ZgjxcVRry7LDqg5X,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4
2CzWmKKsHbEahu9q2QEbXBdbqbxS4oj7ZgZEGRthFDzSBpdqdt2vAfKKihSSEjw2qnsNpWDAKN2SGrqLUfSH5U9k,2025-04-12 06:16:11,ACTIVITY_AGG_TOKEN_SWAP,j1opmdubY84LUeidrPCsSGskTCYmeJVzds1UWm6nngb,158927.56470616,15.896636,"j1o2qRpjcyUwEvwtcfhEQefh773ZgjxcVRry7LDqg5X, JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4","CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK, obriQD1zbpyLz95G5n7nJe6a4DPjpFwa5XYPoNm113y"
5HC6wE4y2b91GjJSuWtjJGKjD2TYvMXVtV8TyZHs6HBiax2i8TgpcYRDPoPd59B34MbXyDfpx9wPmAiNFmjarn8m,2025-04-12 05:40:07,ACTIVITY_AGG_TOKEN_SWAP,j1opmdubY84LUeidrPCsSGskTCYmeJVzds1UWm6nngb,158978.40524227,15.912845,"j1o2qRpjcyUwEvwtcfhEQefh773ZgjxcVRry7LDqg5X, JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4","CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK, whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc"
4kyfRX91bLFh5WST72HeP7nuwjo4h4TUxECk5WA6sSwKTU6xC2jkjymFuGKCQLA4fJ9r6kHcSu5PtnMoxuSpcaSn,2025-04-12 01:04:02,ACTIVITY_AGG_TOKEN_SWAP,j1opmdubY84LUeidrPCsSGskTCYmeJVzds1UWm6nngb,159029.27832673,15.905035999999999,"j1o2qRpjcyUwEvwtcfhEQefh773ZgjxcVRry7LDqg5X, JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4","CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK, SoLFiHG9TfgtdUXUjWAxi3LtvYuFyDLVhBWxdMZxyCe"
xJQVfF9wAAUVvXYnqaNMZa3y27XQSSFePPeAXQEqTSSgPHApWiLwFDikNhx2YHsMBvJX5gt5sWqBnPhm1N3hk7R,2025-04-11 00:12:11,ACTIVITY_TOKEN_SWAP,5SnbgCdaFgTvMvuMGhUxiVZJQETW3dGotaqMKszNnPJ4,0.56,65.4304,routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
2FWkWyV6Wx7cJ68s9yRo6vbrAbsxkimRBtM8ZUN31zip4YCvN5n54cR5iqFphkwiGAYB55og4pg5LRXXqQSr71S2,2025-04-10 08:51:32,ACTIVITY_TOKEN_SWAP,7LqZQSTBha6jMWDEjk3qamwg5fJt3fRHTQP111NPtwWS,0.154975996,17.04580980004,DF1ow4tspfHX9JwWJsAb9epbkA8hmpSEAtxXy1V27QBH,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
492yK5UWynzpqaaunqPAKt6wUQ3AtAyvLBCxuBcZyksPg4He1p8dSqBitStwBifgQR3aSvPpuBSc5zZ5Kc9agLLc,2025-04-10 08:02:21,ACTIVITY_TOKEN_SWAP,7LqZQSTBha6jMWDEjk3qamwg5fJt3fRHTQP111NPtwWS,0.303735104,34.50734516544,DF1ow4tspfHX9JwWJsAb9epbkA8hmpSEAtxXy1V27QBH,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
2xYjFHMtzZitz6oKgmBSH2DAh9ujP63xboHWvCZycJY1C14vmkiozJgCtK3ARMAPTTUJKjfwpycxaeN5UkTcA66S,2025-04-10 07:58:18,ACTIVITY_TOKEN_SWAP,7LqZQSTBha6jMWDEjk3qamwg5fJt3fRHTQP111NPtwWS,0.334645552,38.10274255072,DF1ow4tspfHX9JwWJsAb9epbkA8hmpSEAtxXy1V27QBH,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
3dsVJTDDuupK1u9ShaNfxKBJJPqoMh5eDW978HpsrTsmPhHhin8tTqNZduQgSmb9gFLSdURFxVv3evgdRE2vGRvZ,2025-04-09 11:23:59,ACTIVITY_TOKEN_SWAP,5SnbgCdaFgTvMvuMGhUxiVZJQETW3dGotaqMKszNnPJ4,532015.2148403,46.4710805056,routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
3AhnCTCyjGodWKwmerzezNQwbiHfvrrQiPRTRV9xrAkzLVFTBdfHZpnteGYuRvUSoayebnNHhMpjpGyFNMWLGJx3,2025-04-06 06:33:13,ACTIVITY_AGG_TOKEN_SWAP,7LqZQSTBha6jMWDEjk3qamwg5fJt3fRHTQP111NPtwWS,0.1120395,12.895746449999999,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
LGTPjTGeZCznzZFxFLNRwUEVn15fnxxDR2iJxeMophufVVJgReBKqf8rmR4pMEEHoLR7vVxgzLExkqiPwfWhdxj,2025-04-04 22:35:59,ACTIVITY_AGG_TOKEN_SWAP,7LqZQSTBha6jMWDEjk3qamwg5fJt3fRHTQP111NPtwWS,0.111048,13.4257032,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
66KnQeq4EEBgwbeaNZk9wdYfuhV99eVy3Sd55cWWfNpCRpABZ7EeLFZFS6P6hd81XiwNGuUP6QYZHyqLVwjkJjA5,2025-04-04 03:58:16,ACTIVITY_TOKEN_SWAP,5xr8PEnpLuWZx3YqwyoiBseLeXkMyDn4wELw1cE14GHe,12628.68803026,1.0777293487800002,routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
2LPkZ6NZaGUQ6KsyFkYCiYk4mcWhy8Gt8MrAwSTaX5faobDGxyu8cQUFoXJpDUTpj18ianpdJCh78o7xsfiv8Jma,2025-04-03 14:15:18,ACTIVITY_AGG_TOKEN_SWAP,7wrZMzNLnrWSyHypSidN3gqqGFN3i2c46LR9a5nrustg,0.007783041,0.90726908937,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
4Y7BBgWeQnNSRraTPbgcspzWHMfryfwVRs1zkrmoPcYZ7Zfz8e7QPsjE9TqCrqAafyULkMnqhm2hFAMSPRNb7eot,2025-04-03 09:02:02,ACTIVITY_AGG_TOKEN_SWAP,7wrZMzNLnrWSyHypSidN3gqqGFN3i2c46LR9a5nrustg,0.007932559,0.9066914937,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
4LgvfBRcJi9Qh51u87CfK251QhwWodShXRyxYu2UkLoyfxVbgAgB4QbnH5zNPX2gzUhucieenASbtSQgiL5j9VRC,2025-04-02 13:16:47,ACTIVITY_AGG_TOKEN_SWAP,j1oAbxxiDUWvoHxEDhWE7THLjEkDQW2cSHYn2vttxTF,159182.06050955,15.939169,"j1o2qRpjcyUwEvwtcfhEQefh773ZgjxcVRry7LDqg5X, JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4","CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK, SoLFiHG9TfgtdUXUjWAxi3LtvYuFyDLVhBWxdMZxyCe"
ekPxqKorsdh3QoEBv39vMhy6FB5em5qfunoYP2YMs74UB5vJ7to1vB6iC2acnVzUfZ9SAet6HN6oNuDvZXpBbGY,2025-04-02 13:15:59,ACTIVITY_AGG_TOKEN_SWAP,j1oAbxxiDUWvoHxEDhWE7THLjEkDQW2cSHYn2vttxTF,159182.07680979,15.951895,"j1o2qRpjcyUwEvwtcfhEQefh773ZgjxcVRry7LDqg5X, JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4","CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK, SoLFiHG9TfgtdUXUjWAxi3LtvYuFyDLVhBWxdMZxyCe"
3MPaidgmrANcEBwtWbHra16y1wLJeGnSXmuKVpxLud5FWkbsVP2CoPLMXBkCG7gfoShhJn8kumXC3cuwBkZHHeaR,2025-04-02 13:14:29,ACTIVITY_AGG_TOKEN_SWAP,j1oAbxxiDUWvoHxEDhWE7THLjEkDQW2cSHYn2vttxTF,159233.01507437,16.047122,"j1o2qRpjcyUwEvwtcfhEQefh773ZgjxcVRry7LDqg5X, JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4",CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
2RVUadnm37wY1c3o9Qf2TabTBjmLsoauUXPFhu6GxWEG1ksEqJ58VimTx9J4UdiL768zpQsvGRia3xXu3LEc9dam,2025-04-02 09:03:20,ACTIVITY_AGG_TOKEN_SWAP,j1opmdubY84LUeidrPCsSGskTCYmeJVzds1UWm6nngb,159233.01507437,15.930488,"j1o2qRpjcyUwEvwtcfhEQefh773ZgjxcVRry7LDqg5X, JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4",CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
CTfCFMYTJrH5VftcPQwXvgp17jdPguSEiNcZBAFHRceH6kPRZFxd2gy4Shm5383oAv5899mTRJN873Gv9jMibX5,2025-04-02 08:40:12,ACTIVITY_AGG_TOKEN_SWAP,j1oAbxxiDUWvoHxEDhWE7THLjEkDQW2cSHYn2vttxTF,159334.95682538,15.977828,"j1o2qRpjcyUwEvwtcfhEQefh773ZgjxcVRry7LDqg5X, JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4",CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
